scope,fold,method,descriptor_fingerprint,query_id,query_source,gallery_source,encoding_seconds,search_seconds,end_to_end_seconds
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2590,teacher,teacher,0.02256106,0.13136063,0.15392170
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2591,teacher,teacher,0.02214024,0.13137487,0.15351512
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2604,teacher,teacher,0.02235656,0.13063707,0.15299363
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2613,teacher,teacher,0.02212597,0.13065805,0.15278402
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2616,teacher,teacher,0.02148782,0.13551040,0.15699822
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2627,teacher,teacher,0.02212372,0.13079816,0.15292189
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2641,teacher,teacher,0.02140636,0.13059319,0.15199955
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2651,teacher,teacher,0.02218920,0.13106510,0.15325430
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2655,teacher,teacher,0.02268994,0.13099677,0.15368670
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2659,teacher,teacher,0.02270450,0.13124531,0.15394982
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2662,teacher,teacher,0.02151127,0.13590136,0.15741263
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2664,teacher,teacher,0.02147841,0.13139741,0.15287582
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2666,teacher,teacher,0.02176969,0.13121101,0.15298070
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2667,teacher,teacher,0.02161015,0.13052741,0.15213756
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2674,teacher,teacher,0.02244769,0.13058603,0.15303372
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2676,teacher,teacher,0.02243192,0.13172298,0.15415490
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2685,teacher,teacher,0.02263260,0.13528934,0.15792194
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2693,teacher,teacher,0.02204594,0.13076596,0.15281190
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2704,teacher,teacher,0.02222900,0.13060095,0.15282995
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2711,teacher,teacher,0.02201194,0.13097752,0.15298946
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,2714,teacher,teacher,0.02269946,0.13094858,0.15364805
