query_id,query_source,gallery_source,encoding_seconds,search_seconds,end_to_end_seconds
4417,teacher,teacher,0.01744012,0.06944255,0.08688267
4435,teacher,teacher,0.01761901,0.07018911,0.08780812
4436,teacher,teacher,0.01668699,0.06964637,0.08633336
4446,teacher,teacher,0.01720782,0.06959054,0.08679836
4454,teacher,teacher,0.01687307,0.06962321,0.08649628
4460,teacher,teacher,0.01723741,0.06974487,0.08698229
4474,teacher,teacher,0.01707841,0.06916172,0.08624014
4476,teacher,teacher,0.01703881,0.06896663,0.08600544
4488,teacher,teacher,0.01671543,0.06903765,0.08575308
4491,teacher,teacher,0.01632250,0.06917208,0.08549458
4492,teacher,teacher,0.01688697,0.06921236,0.08609933
4500,teacher,teacher,0.01688386,0.06899810,0.08588196
4501,teacher,teacher,0.01699787,0.06941201,0.08640989
4508,teacher,teacher,0.01661168,0.06955646,0.08616814
4518,teacher,teacher,0.01686623,0.06902402,0.08589025
4550,teacher,teacher,0.01683802,0.06919553,0.08603355
4551,teacher,teacher,0.01663514,0.06910561,0.08574075
4553,teacher,teacher,0.01657288,0.06915992,0.08573280
4559,teacher,teacher,0.01696316,0.06978799,0.08675115
4563,teacher,teacher,0.01677198,0.06927707,0.08604906
4566,teacher,teacher,0.01686443,0.06931692,0.08618135
4569,teacher,teacher,0.01670609,0.06978266,0.08648875
4574,teacher,teacher,0.01679518,0.06944810,0.08624329
4579,teacher,teacher,0.01669964,0.06933614,0.08603578
4587,teacher,teacher,0.01670358,0.06962339,0.08632697
4593,teacher,teacher,0.01697267,0.06907124,0.08604391
4595,teacher,teacher,0.01714624,0.06888001,0.08602625
4602,teacher,teacher,0.01745001,0.06884994,0.08629995
4605,teacher,teacher,0.01698633,0.06853721,0.08552355
4608,teacher,teacher,0.01694788,0.06941685,0.08636474
4611,teacher,teacher,0.01658980,0.06932026,0.08591006
4615,teacher,teacher,0.01642673,0.06928204,0.08570877
4623,teacher,teacher,0.01731646,0.06948214,0.08679860
4628,teacher,teacher,0.01702097,0.06906554,0.08608651
4631,teacher,teacher,0.01675974,0.06947662,0.08623636
4635,teacher,teacher,0.01655710,0.06895051,0.08550761
4639,teacher,teacher,0.01708592,0.06905659,0.08614251
4648,teacher,teacher,0.01687288,0.06870536,0.08557824
4650,teacher,teacher,0.01705008,0.06907613,0.08612620
4656,teacher,teacher,0.01682455,0.06912780,0.08595236
4661,teacher,teacher,0.01670613,0.06923273,0.08593886
4665,teacher,teacher,0.01699409,0.06871609,0.08571018
4668,teacher,teacher,0.01681120,0.06914435,0.08595556
4671,teacher,teacher,0.01682064,0.06900029,0.08582094
4672,teacher,teacher,0.01680756,0.06908455,0.08589211
4678,teacher,teacher,0.01696318,0.06893743,0.08590061
4687,teacher,teacher,0.01681055,0.06915296,0.08596352
4690,teacher,teacher,0.01706609,0.06902493,0.08609102
4696,teacher,teacher,0.01748537,0.06910948,0.08659485
4697,teacher,teacher,0.01736496,0.06712924,0.08449421
4700,teacher,teacher,0.01744981,0.06696574,0.08441555
4707,teacher,teacher,0.01673421,0.06706595,0.08380016
4713,teacher,teacher,0.01747334,0.06700357,0.08447691
4714,teacher,teacher,0.01715930,0.06681441,0.08397371
4718,teacher,teacher,0.01689658,0.06705784,0.08395442
4737,teacher,teacher,0.01697273,0.06725169,0.08422442
4751,teacher,teacher,0.01723102,0.06754244,0.08477347
4763,teacher,teacher,0.01747780,0.06820932,0.08568711
4770,teacher,teacher,0.01763967,0.06785161,0.08549128
4777,teacher,teacher,0.01747842,0.06729238,0.08477079
4782,teacher,teacher,0.01754365,0.06681269,0.08435634
4783,teacher,teacher,0.01752197,0.06654345,0.08406542
4796,teacher,teacher,0.01716896,0.06683612,0.08400508
4801,teacher,teacher,0.01761350,0.06672089,0.08433438
4802,teacher,teacher,0.01750028,0.06662935,0.08412963
4811,teacher,teacher,0.01729273,0.06652742,0.08382015
4814,teacher,teacher,0.01747358,0.06669229,0.08416587
4816,teacher,teacher,0.01746439,0.06672244,0.08418683
4817,teacher,teacher,0.01743458,0.06670705,0.08414163
4818,teacher,teacher,0.01739662,0.06674317,0.08413979
4827,teacher,teacher,0.01745406,0.06706708,0.08452114
4828,teacher,teacher,0.01705598,0.06692186,0.08397784
4831,teacher,teacher,0.01724292,0.06662503,0.08386796
4832,teacher,teacher,0.01764618,0.06727503,0.08492121
4835,teacher,teacher,0.01724825,0.06659664,0.08384489
4837,teacher,teacher,0.01765909,0.06668576,0.08434485
4845,teacher,teacher,0.01764744,0.06655466,0.08420209
4847,teacher,teacher,0.01703986,0.06704755,0.08408741
4851,teacher,teacher,0.01704049,0.06727456,0.08431505
4857,teacher,teacher,0.01725138,0.06711837,0.08436975
4860,teacher,teacher,0.01701332,0.06726319,0.08427651
4861,teacher,teacher,0.01711579,0.06670072,0.08381651
4862,teacher,teacher,0.01730363,0.06677247,0.08407610
4865,teacher,teacher,0.01751965,0.06644827,0.08396791
4894,teacher,teacher,0.01681678,0.06657330,0.08339008
4895,teacher,teacher,0.01682102,0.06646740,0.08328843
4907,teacher,teacher,0.01673598,0.06643755,0.08317352
4913,teacher,teacher,0.01666310,0.06649495,0.08315805
4921,teacher,teacher,0.01741100,0.06643548,0.08384648
4925,teacher,teacher,0.01699183,0.06651827,0.08351010
4927,teacher,teacher,0.01687021,0.06659029,0.08346049
4939,teacher,teacher,0.01659154,0.06775268,0.08434422
4940,teacher,teacher,0.01645736,0.06712650,0.08358386
4952,teacher,teacher,0.01646209,0.06733958,0.08380167
4956,teacher,teacher,0.01697242,0.06687894,0.08385136
4957,teacher,teacher,0.01688085,0.06659724,0.08347809
4958,teacher,teacher,0.01692219,0.06680132,0.08372351
4961,teacher,teacher,0.01699762,0.06694073,0.08393835
4971,teacher,teacher,0.01656122,0.06710744,0.08366866
4977,teacher,teacher,0.01643942,0.06649390,0.08293332
4978,teacher,teacher,0.01644191,0.06622110,0.08266301
4992,teacher,teacher,0.01703865,0.06641294,0.08345158
4994,teacher,teacher,0.01691500,0.06683248,0.08374748
5007,teacher,teacher,0.01672664,0.06695305,0.08367969
5010,teacher,teacher,0.01762835,0.06648431,0.08411266
5020,teacher,teacher,0.01667588,0.06670326,0.08337914
