model,scope,class_index,class_name,f1,precision,predicted_count,recall,support
E4,folds_0_4,1.0,Ethnic,0.8128724672228844,0.8472049689440994,805,0.7812142038946163,873
E4,folds_0_4,2.0,Formal,0.7650273224043717,0.8175182481751825,685,0.7188703465982028,779
E4,folds_0_4,3.0,Home,0.0,0.0,0,0.0,1
E4,folds_0_4,4.0,NA,0.15384615384615385,0.5,4,0.09090909090909091,22
E4,folds_0_4,5.0,Party,0.0,0.0,0,0.0,6
E4,folds_0_4,6.0,Smart Casual,0.0,0.0,2,0.0,18
E4,folds_0_4,7.0,Sports,0.631979695431472,0.7280701754385965,1026,0.5582959641255605,1338
E4,folds_0_4,8.0,Travel,0.18181818181818182,0.3333333333333333,3,0.125,8
E5,all_available_folds,0.0,Casual,0.9329443796188255,0.9130914766454756,26269,0.9536797741640491,25151
E5,all_available_folds,1.0,Ethnic,0.8486889583834496,0.8936170212765957,1974,0.8080622995877234,2183
E5,all_available_folds,2.0,Formal,0.7827735644637053,0.8290304073436604,1743,0.741405849153412,1949
E5,all_available_folds,3.0,Home,0.0,0.0,0,0.0,1
E5,all_available_folds,4.0,NA,0.2,0.3103448275862069,29,0.14754098360655737,61
E5,all_available_folds,5.0,Party,0.0,0.0,0,0.0,12
E5,all_available_folds,6.0,Smart Casual,0.0,0.0,8,0.0,47
E5,all_available_folds,7.0,Sports,0.6724704336399474,0.7465353756382203,2742,0.6117752540346683,3346
E5,all_available_folds,8.0,Travel,0.20689655172413793,0.42857142857142855,7,0.13636363636363635,22
E5,folds_0_4,0.0,Casual,0.9316480311132719,0.9121370775821037,10505,0.9520119225037258,10065
E5,folds_0_4,1.0,Ethnic,0.8492822966507176,0.8886107634543179,799,0.8132875143184422,873
E5,folds_0_4,2.0,Formal,0.7700680272108843,0.8191027496382055,691,0.7265725288831836,779
E5,folds_0_4,3.0,Home,0.0,0.0,0,0.0,1
E5,folds_0_4,4.0,NA,0.3225806451612903,0.5555555555555556,9,0.22727272727272727,22
E5,folds_0_4,5.0,Party,0.0,0.0,0,0.0,6
E5,folds_0_4,6.0,Smart Casual,0.0,0.0,0,0.0,18
E5,folds_0_4,7.0,Sports,0.6685784514543219,0.7398005439709883,1103,0.6098654708520179,1338
E5,folds_0_4,8.0,Travel,0.18181818181818182,0.3333333333333333,3,0.125,8
E6,all_available_folds,0.0,Casual,0.9297322576873612,0.9116826537241564,26167,0.9485109935986641,25151
E6,all_available_folds,1.0,Ethnic,0.843705463182898,0.8761716822890971,2027,0.8135593220338984,2183
E6,all_available_folds,2.0,Formal,0.7654520917678812,0.8075170842824602,1756,0.7275525910723448,1949
E6,all_available_folds,3.0,Home,0.0,0.0,0,0.0,1
E6,all_available_folds,4.0,NA,0.21978021978021975,0.3333333333333333,30,0.16393442622950818,61
E6,all_available_folds,5.0,Party,0.0,0.0,1,0.0,12
E6,all_available_folds,6.0,Smart Casual,0.03636363636363636,0.125,8,0.02127659574468085,47
E6,all_available_folds,7.0,Sports,0.6672109732201176,0.7354211663066955,2778,0.6105797967722654,3346
E6,all_available_folds,8.0,Travel,0.22222222222222218,0.6,5,0.13636363636363635,22
E6,folds_0_4,0.0,Casual,0.9284460908559173,0.9113003540331068,10451,0.9462493790362643,10065
E6,folds_0_4,1.0,Ethnic,0.8376470588235294,0.8609431680773881,827,0.8155784650630011,873
E6,folds_0_4,2.0,Formal,0.76062036412677,0.8011363636363636,704,0.72400513478819,779
E6,folds_0_4,3.0,Home,0.0,0.0,0,0.0,1
E6,folds_0_4,4.0,NA,0.24242424242424246,0.36363636363636365,11,0.18181818181818182,22
E6,folds_0_4,5.0,Party,0.0,0.0,0,0.0,6
E6,folds_0_4,6.0,Smart Casual,0.0,0.0,1,0.0,18
E6,folds_0_4,7.0,Sports,0.6620464737056666,0.7282511210762331,1115,0.6068759342301944,1338
E6,folds_0_4,8.0,Travel,0.2222222222222222,1.0,1,0.125,8
E7,all_available_folds,0.0,Casual,0.9093577981651375,0.8842022235576923,26624,0.935986640690231,25151
E7,all_available_folds,1.0,Ethnic,0.7599045346062052,0.7932237169905332,2007,0.7292716445258818,2183
E7,all_available_folds,2.0,Formal,0.682750970604548,0.7429088714544357,1657,0.6316059517701386,1949
E7,all_available_folds,3.0,Home,0.0,0.0,1,0.0,1
E7,all_available_folds,4.0,NA,0.12222222222222223,0.09243697478991597,119,0.18032786885245902,61
E7,all_available_folds,5.0,Party,0.0,0.0,9,0.0,12
