file_sha256,pixel_sha256,ids,count
23d9c89afc5351659edd90338d1467293aeb3070967b828cb5b67ad6e7b9dd87,e884895f1446c2097c97ba6db84ab848a0aed4f6d1bc4365327df42605dfe084,"(8728, 9620)",2
243621607720b19f44642218ab890340b866d40d4a1c6e48621ae9bd20c5fde8,ec520d1639babc6bc0153facde081d33263a1bfc24e4bf859e4798634ca57b4d,"(29632, 31635)",2
2451d4d007ec82df703de6b312af758293bf34b38c90e30b2ff56f21023f1519,0fe64015aaf57dea769a9a1d7240c904b08a4c8e16fdd93970e508920ec3aa4b,"(31123, 34013, 34014)",3
2471f688a71cd07012e9a0de53ad291439ec0b9c5432785f022a926c050af7ed,c4c9cd80b3428c69bb0ad179c20207e00ce9b8a9645fd6abeedc5f9d24ffa1f0,"(13294, 13295)",2
2488e3df7ac40c449d79ec8ffc187495ba52172ab9d0f456c9f6eff8dbb0030c,bee9827cb6f2c0bba10b8162830d1af6a8b5f41a39da5733e88286c9807866b2,"(9806, 9807)",2
251b92c949e5fe4c31dce8f13990494e6c2f7731282f069dbdd92c3687bbef9c,11503a3e8fb1854438c84a3cda7b2176414903ad8b26c2d80ed9f0a36852ec2f,"(12170, 12471)",2
251dfd887df0152aebd5a2bb6e6dbfaee9640a32b60c1d62b0c34bb57b855cfb,96c7782e3b198b0f890c7479a729a4387b698bd27ed6b25dbf4ccb89e39436d1,"(31716, 35328)",2
25210a84b9821150ffb4d92a07b04349ba7340a1919021891fedf3cf60ff3749,21acbf83e9d39669fa736e06ced6ac51435b8dcb66b519140e064bff64ae66c6,"(8900, 9666)",2
261319287d2317ca9381d30499f1cbb0ff2a662fd0f159c7717fbf21a3b35589,58f4a2376a815f70dae99e6b664f697558eac2589eec5c159a4f8931d64807d6,"(34276, 34278)",2
2616d162338bee32e1fe3b8b7322b3e787ee54130715b85bf9f153a6c3426acd,e6c96082b01b951fd70cf9db5e8555dbe5caa76ab3c5e140930292acc793f051,"(34106, 35442)",2
261a589e0ad8167a6953a5a7849a4657a3523a982304ea21c989b107aa347f02,6e4ef42afcedf97f8ff2c988f6afc6f4cdba8e407a6f60e0c7d48b413bf398c1,"(11346, 11347)",2
2636ec6145c9d5bee74b97e4cdb871a3c0bc538ffe41639478725874776e4b5f,7c2893676b7687f699ecbc8f97e00c1e2529d892ccfa2b63b8329f3224244f12,"(13026, 22277)",2
26897c9c6e5cf16850f4e48be27b1046ebc5f9acb9a415bd95c0d5eab63c98ba,7b3d3155df0d66cc160f18bf9c2437b87ddea067eca1d2a39ee09f273d83f9aa,"(4872, 4873)",2
275e1ca2816168bb2ed422965bc4156123579ba442f4b05c7dbae30ce9fc8fe9,0650eb84d1093b8ab84f8003101b7cb998254ec85494fecfeba1ab3f359d1774,"(11081, 11082)",2
275f6bdee6aeb09332fae73492447885cdfe64947311e97db2440b70a65b02d8,b2b426f2f2ac70edc4a8aee556940c506ca3592ec83ea48b4994e2044f689c67,"(9519, 9520)",2
27f898c60363cf579c1ce7c6cee75e5b7299b6292565db140b21b33c5a459593,0e84aee7a5529fd1afdf3a26d9ebc93fa0aa4f5fbb449cc7ea413948ed7c6ee3,"(36213, 39845, 39846)",3
2802f45332c58aed294dbfa0c87db140afacef7ef0c8c1ef5c16045efcd31a58,eb44c1858a6c3a59d9c5ca0b1e1477ae9ffdb41d1ca73f63dbced793d6b1f064,"(31148, 34188, 34189)",3
28111ed5f391ffc68a54bd98969e786cd3996dedb1009234237f0f064ba35571,62b9497fb04fa5f834e4cee30ac770490f8d900036adf4e31d61f805eda0b22e,"(33144, 38940, 38941)",3
2839d507a8725430328b2fe143ffe4d8c62cc829f908b02867a16ad6953394dd,38de6fb5f0e7915eba741eb2c5cbe5a7508278768ab40b9d31c955baed2508f9,"(8414, 8415)",2
287a9baf9820a0f94886d4c364f35d9eae76836033187c0dd0063b0afd1e0555,9c552408c87ef3dcbdbb89c3763e0d9432213517da8e7437069f8bd04b97026a,"(13878, 13879)",2
294dacb63b6fbe04442637d50ed4e91997713714c7eb5f9cd138a6a0e4d6fab3,7fde3ef9abafee34c91873f5f3c0ac33575eac3aedcd56483bf242eb294e9110,"(11087, 11088)",2
29b6d48fdf58b0b5917cc3c6338baa6fe4a72c560d1a309bd288049bb800c823,92d1362339d8c4c0fe6fe72b16a928f3a6e7c191d92c3b3735ea0aacb0af34cd,"(13306, 13307)",2
29eea2c408936ea57cd0383e4185c2eb10f22e3f0995c495d1198b3f80453f2f,5336ada926a1e0340c3bd588f091ed85ca02626a128e19de2258c42ec412999b,"(4933, 4934)",2
2adc68f8072a9b3dfd8daf3e522445204c1f680f48deeeddc3f6949e196d2231,5b5672aea6fdbb735772d460666fb390d2e494d291799a4785a5283fb8232af6,"(26090, 31132)",2
2b38ee93dfd5b3d4b4e4d06ada4895c249cbf87eace4560f2bb4d9b17e3b3c99,8728ba69173b9ea8d4b2766f465e48146757cca74f81c0fd99a44ca321cfb612,"(34112, 35450, 35451)",3
2b66ed688e8dc06bc36bf30dd81f2e289f8782483d99203f8947beb40d8efd74,26d1de0598426be4febc4cae649385f1def15597ceebde720e7b937b1d802ee9,"(33139, 38960, 38961)",3
2bb9623d88acf762bd4bbc395a5f6bb9bc83212b1a14e6af0ba12f0715da738e,4b391804304638841be91e90db2997f948a50dc1e1cc365d1d5a47c8b5ed42e8,"(33146, 38936, 38937)",3
2bea93f45f449897ee8723f7074f8339c9e3da53fc3e52ad8761f370f54a2075,227814a4d92af866cc750657c069f33a8b26239a206baa9a324ffde4c9c37640,"(33271, 39314)",2
2c127fbd3c78821270df4e23472449905de032b2511f1cfd86a2ad572812d8e4,0e82c93a18f471146df7e08c60fec0699fa83f8f4478533ab18a3c1a678562d4,"(8735, 9639)",2
2d5faef58dea36c4a0ce6a1086519012e55b95b98ba4674231f00add645f16bc,f4f3099048ee4663b1a5ce08afbe8e1ad0aec378ac2994eb4fbc9b1a99be8cf8,"(13851, 13852)",2
2d6fd310f85f8ceb0e835ef971bacc7e5c5675e2c181c0a54ad61cbf7d5a7bed,c31c68b6d7f1e6a50151ddb1ff7d5a233705da7767797329ac5e2a6191c2af34,"(8323, 8324)",2
2db08f0b2c0bc225ebc00011e094a8cdb6a7a94b72d1009a87d0dec953d0a621,5e8a1f7a619a9a46f137db2f317ec089fde0a46e6b6d3c952d4c2d2bb4aea38b,"(34117, 35436)",2
2e6d9c0c0c0defe5c564514a3c78c030dbcee0e183deed0c71617451ea0ce5e8,25711f900c7144741de834747910512475e4dcd7dfbb3773e4f26232c7cdfd12,"(40151, 41967, 41968)",3
2e7af06138efa4c25648e3133420dd6e22bdd6fc1ed57099644da697e5e4cc4a,7afbbb66348043dba7315c6c7f04c906cb14f9a87229007ab7880469df404e45,"(11045, 11046)",2
2f3b6d715859d9590acc102f1845854196e6a1e5acb311723e2052fa56fe3de0,835e71731d20c6e82ce44b116dd2ceb6b584171fb7472047beb22f8e7c26c356,"(8738, 9643)",2
2f51b7e71b9f412f3a3d6637123284b2651d0206040858ea2f9aca7e34085b10,547354deb8580ba35dd7d0190d32815aef0c01e47c8da0f11bd17cc12a62dc0d,"(4943, 4944)",2
2fdb61d1ebe3bae824119fa72e53db30ae0e3159cd3e2739dfff4e69c69b5aa0,ddefe661962d947d2d4815f70c24de84974a5c7307218ebd1ed08128c5c8f79e,"(8332, 8333)",2
2ff6ddff0dbcc47bfadf55bc16ee2768cc889fb0365767e8e49ba52e50ee844c,f670e8f6d5ea562578cc619d49df0d58d3c34b64c79757bf7ad199d0ac6d7b39,"(13220, 13221)",2
300792fa7a311589a7db074282d0e9de872872e38e2c658dbcd5019abff245dd,70b7d169e21af572bb3faa7e80c3f3f812bdf8b0c79a70c8ee92732358955c31,"(8743, 9651)",2
3074c3053da036b03a6da521321a1441f0e961ddc8a1de616a6068f1e1900383,5a522d961f0cf6727ab6c2cdf1c3419952847f5e45f85579cbff7527f88a2b88,"(33143, 38952, 38953)",3
308e5cfe47b6581f97491e43711271176e96c81de8523267505b2b39781e7910,8d9cb31c913bd3054c3a9ddba954e02e2b3831a909d5106041ad6e7a8b9a9121,"(13337, 13338)",2
30abb28865f16c59399a1368870e9924e0daccf37cc56bb2f328a5c9892712ea,22708e3d6dc0ee33aa5640f27c41efaca2d8b43c30a6aa9291382f04e4ca1e34,"(34232, 34238)",2
30fe1685b1d876cbbb65d446235e8b75f44271e115ecb1fae3d82d1dc3d24764,5f36531074b96b8d1a2a0d18e26dd7127436ae512a986e9f9c5298483cc0251b,"(38480, 40978)",2
3109d1c520f5c8a72c11f009d3c703bab8e2d427d8f472444d725fae72a69004,abf2a8bd0285c17982a84cd1b2c9f9c370219590fa780e100f36c973fce2a5ec,"(31144, 34187)",2
3128c1c4ba3a32b2b2058e502412c6d3a25cd6c30e973c1873a9a1d870b74178,dffab5bb5513185255ecc62eeef263b33f11ca07b68f43eb01aedc0950f9c33e,"(4892, 4893)",2
316a1c7426debb0a05fdabc202d4d90e11465711e13b49707702ad74e7f147fb,465b1bfc3bd13aa8b381ed0f23ded9052ef4ceffed0562cf99790069a6d696c0,"(18580, 18592)",2
31fa6d8f7d573d359bd752f5c418dd43ee58051e950f4c3985bfe4b622dc35ba,fc27e302057f96da7e27227e2cc8f7963a607b3cf87eaaa30e85604935021513,"(21838, 23129)",2
328e61a9c68a8386da15e4aa99e82a3eb00599ae4d140661081164b807f8b9a8,83a9a6c242108fb7696fc34a6da66017cf11c70b8784a1c32a4f6e5b4cfefa59,"(43119, 43120)",2
33655ddf1e36572e9625567c356017f49f3a04ba105af748a10d6826993a3726,0102e8fd46398c9f064f609db69de8264a609d416ecd13b763e9b9b1e3e9f9f5,"(31127, 34065)",2
338c2342bc241f588cf892f9f62b9a641fa93a68d3c84326ab1becc09063565a,2480983b9e690712b4b5feb8efb4f943b1c2958f31f7567b86315eea888739e4,"(39002, 40950, 40951)",3
33978ca8025ca9dcf2297b5b63ee7e04beb420f5c62ca6eb9745e907d8549bc1,a4625452dcd1725a5340f816036d93e17391e884991d7b707fca48a687a18fac,"(41304, 43581, 43582)",3
33d09e6162932751e00e3da1bc4abbbb940b832a603ed3f3679d662b03fdbeee,f3c9b6c754e4b608137d14ccf15f8558724b70608d020e84b30810a21765a3f2,"(27226, 33504)",2
