candidate,experiment_id,seed,slice_family,slice_name,support,low_support,labels_present,accuracy,balanced_accuracy,macro_f1,mean_confidence,mean_true_probability,nll,brier,ece,recall_Fall,recall_Spring,recall_Summer,recall_Winter
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,image_mode,greyscale,294,False,4,0.7414965986394558,0.6014909897025171,0.6436631016478775,0.724876978263563,0.6161555868326402,0.7215805246267476,0.39810687408040085,0.0881072435597223,0.28125,0.5,0.782608695652174,0.8421052631578947
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,image_mode,other_mode,0,True,0,,,,,,,,,,,,
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,image_mode,rgb,32459,False,4,0.7539665424073446,0.7123326423494929,0.7449520758672531,0.8064836198504493,0.6921556046401274,0.6530397548162219,0.3490207589142668,0.05342311812118139,0.6513039568345323,0.6288737717309146,0.8247480403135499,0.7444048005189751
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,product_family_size,multirow,13730,False,4,0.7681718863801894,0.6958287442660862,0.7318457947977355,0.811482754482115,0.7035625449220723,0.6128879721558929,0.33117989160966255,0.04709674578184468,0.7002035475428904,0.4946236559139785,0.81442097596504,0.7740667976424361
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,product_family_size,singleton,19023,False,4,0.743521000893655,0.7123506963711099,0.7429659669626345,0.8016142264256836,0.6827479772781705,0.6830789159501447,0.36265617004558465,0.05999065263530366,0.6185097467662598,0.6802507836990596,0.831590181430096,0.719052073589024
I2,g4-i2-article-type-lambda-0-3-c1,2753,acquisition_year,dominant_2011_2012,22896,False,4,0.7747641509433962,0.595046729589201,0.5913339512326252,0.8027017404612318,0.702443222914304,0.5773547468696314,0.3214432000174038,0.032757956376568684,0.6797963883165676,0.25477707006369427,0.8497466402291254,0.5958668197474167
I2,g4-i2-article-type-lambda-0-3-c1,2753,acquisition_year,missing_year,0,True,0,,,,,,,,,,,,
I2,g4-i2-article-type-lambda-0-3-c1,2753,acquisition_year,other_years,9857,False,4,0.7339961448716648,0.6861644986459078,0.6824377677870407,0.8196864641860446,0.6876697410123249,0.7604822402555829,0.3758469352314374,0.08587186838613946,0.4948301329394387,0.6996587030716723,0.820855614973262,0.7293135435992579
I2,g4-i2-article-type-lambda-0-3-c1,2753,article_type_shortcut,aligned,21115,False,4,0.8831162680558844,0.9127078579227247,0.8690131829249004,0.8426210762227623,0.7980383010488807,0.32301880713051745,0.18089079393999258,0.04049519236352637,0.8724890829694323,0.965311004784689,0.8631138975966562,0.9499174463401211
I2,g4-i2-article-type-lambda-0-3-c1,2753,article_type_shortcut,conflict,11619,False,4,0.5439366554780962,0.44647580995074493,0.43021100203044355,0.7445263798896146,0.5168275825216125,1.1910767460490224,0.6217385485921971,0.20058972471127673,0.5945457284917884,0.1037344398340249,0.7075773745997865,0.38004569687738005
I2,g4-i2-article-type-lambda-0-3-c1,2753,article_type_shortcut,missing_article_type,0,True,0,,,,,,,,,,,,
I2,g4-i2-article-type-lambda-0-3-c1,2753,article_type_shortcut,unseen_article_type,19,True,4,0.3684210526315789,0.23484848484848483,0.23214285714285715,0.8269734053235305,0.3106453178242143,2.9223632432576974,1.105128317846016,0.5559753440113058,0.0,0.2727272727272727,0.6666666666666666,0.0
I2,g4-i2-article-type-lambda-0-3-c1,2753,file_size_quartile,q1_smallest,8187,False,4,0.7680469036277024,0.644215163995189,0.6820548525524748,0.8245767702422359,0.7138505627553169,0.5878641837946601,0.3277153311806623,0.057547630492989346,0.7848341232227488,0.3146067415730337,0.7764628533859304,0.7009569377990431
I2,g4-i2-article-type-lambda-0-3-c1,2753,file_size_quartile,q2,8192,False,4,0.7669677734375,0.7214513581931814,0.7540060575900341,0.8115436752814276,0.7012131951352141,0.629197768255017,0.3350282266274804,0.049140580449747166,0.638095238095238,0.7065868263473054,0.8631047924787892,0.6780185758513931
I2,g4-i2-article-type-lambda-0-3-c1,2753,file_size_quartile,q3,8181,False,4,0.7252169661410586,0.6742537344360635,0.7081187425029876,0.7782640609607445,0.6582784300246722,0.7232371862694755,0.3812176986884452,0.05316503854287208,0.443092340730136,0.7140522875816994,0.8415866599292572,0.6982836495031617
I2,g4-i2-article-type-lambda-0-3-c1,2753,file_size_quartile,q4_largest,8193,False,4,0.7896985231295008,0.6787026876394484,0.720897167203288,0.8168380859860509,0.7186002418097274,0.5896682674702554,0.30735848972246843,0.03500744310276777,0.5479204339963833,0.5408163265306123,0.8746409519901518,0.7514330380406462
I2,g4-i2-article-type-lambda-0-3-c1,2753,image_mode,greyscale,294,False,4,0.7414965986394558,0.5391486528822055,0.5672976011994003,0.7468896633913727,0.6301333794883471,0.7178765489927756,0.39037763355356947,0.0747757533882901,0.21875,0.3333333333333333,0.8571428571428571,0.7473684210526316
I2,g4-i2-article-type-lambda-0-3-c1,2753,image_mode,other_mode,0,True,0,,,,,,,,,,,,
I2,g4-i2-article-type-lambda-0-3-c1,2753,image_mode,rgb,32459,False,4,0.762685233679411,0.7177641466425118,0.7532746819343211,0.8083651057039694,0.6986118320168465,0.6316932752433065,0.33733989722141794,0.04646379388639611,0.6673785971223022,0.6485260770975056,0.8449670274978226,0.7101848848524165
I2,g4-i2-article-type-lambda-0-3-c1,2753,product_family_size,multirow,13730,False,4,0.7760378732702112,0.7024350063199496,0.741506868588795,0.8141542379211876,0.7103400179607174,0.5961342323463961,0.32011156940870994,0.040609852869774976,0.7060191916254726,0.5241935483870968,0.8418062636562272,0.737721021611002
I2,g4-i2-article-type-lambda-0-3-c1,2753,product_family_size,singleton,19023,False,4,0.7527203911055038,0.7169973965384243,0.7509217739566724,0.8032366524956263,0.6890885886770615,0.658690254765828,0.35059427536104554,0.05166065279184586,0.6405538349426125,0.6948798328108673,0.8474919957310566,0.6850639226691612
